,Coherence,Confidence,ReactionTime,SubResponse,TrueDirection,ACC,SubjectNumber
0,6.4,5,2823,180,180,1,1
1,6.4,4,4152,180,180,1,1
2,12.8,4,4253,0,0,1,1
3,6.4,4,3895,180,180,1,1
4,6.4,3,3062,0,180,0,1
5,12.8,4,3656,0,0,1,1
6,12.8,5,2507,0,0,1,1
7,6.4,5,2496,180,0,0,1
8,6.4,4,5015,0,180,0,1
9,3.2,5,3370,180,180,1,1
10,6.4,5,2728,180,180,1,1
11,6.4,5,1850,180,180,1,1
12,12.8,5,1986,0,0,1,1
13,6.4,6,3263,0,180,0,1
14,1.6,5,3098,0,0,1,1
15,12.8,5,3109,180,180,1,1
16,6.4,5,3763,0,180,0,1
17,25.6,6,2080,180,180,1,1
18,25.6,6,1172,180,180,1,1
19,12.8,6,1744,0,0,1,1
20,6.4,5,1847,180,180,1,1
21,3.2,5,4265,0,180,0,1
22,12.8,5,2215,0,0,1,1
23,12.8,6,4533,0,0,1,1
24,3.2,5,5024,180,180,1,1
25,12.8,5,1339,0,0,1,1
26,6.4,4,5018,180,0,0,1
27,3.2,5,2479,0,0,1,1
28,1.6,5,3925,180,180,1,1
29,6.4,4,4856,0,0,1,1
30,12.8,5,2449,0,0,1,1
31,3.2,5,4869,0,0,1,1
32,1.6,6,2905,180,0,0,1
33,12.8,5,5015,0,0,1,1
34,1.6,5,3574,0,0,1,1
35,1.6,5,2722,180,0,0,1
36,3.2,6,2046,180,180,1,1
37,25.6,6,1187,180,180,1,1
38,3.2,6,2008,0,0,1,1
39,3.2,6,2935,180,180,1,1
40,12.8,6,1183,180,180,1,1
41,25.6,6,846,0,0,1,1
42,3.2,6,1604,0,0,1,1
43,1.6,6,1035,0,0,1,1
44,12.8,6,762,180,0,0,1
45,6.4,5,4023,180,0,0,1
46,25.6,6,828,0,0,1,1
47,25.6,6,680,0,0,1,1
48,1.6,4,4776,180,180,1,1
49,3.2,6,4000,0,180,0,1
50,3.2,6,869,180,180,1,1
51,12.8,6,803,180,180,1,1
52,3.2,6,4171,180,180,1,1
53,12.8,6,1232,180,180,1,1
54,6.4,6,1348,180,180,1,1
55,6.4,6,1954,180,180,1,1
56,12.8,6,1253,180,180,1,1
57,1.6,6,1035,180,180,1,1
58,1.6,6,948,0,0,1,1
59,1.6,4,3926,0,0,1,1
60,25.6,6,764,180,180,1,1
61,1.6,6,1922,180,180,1,1
62,6.4,6,1116,0,0,1,1
63,6.4,6,1597,180,0,0,1
64,12.8,6,1110,180,180,1,1
65,6.4,6,1599,180,0,0,1
66,1.6,6,1860,180,180,1,1
67,12.8,6,846,0,0,1,1
68,12.8,6,982,180,180,1,1
69,12.8,6,863,180,180,1,1
70,12.8,6,814,180,180,1,1
71,25.6,6,695,180,180,1,1
72,1.6,6,2702,180,180,1,1
73,12.8,6,822,180,180,1,1
74,3.2,6,775,180,0,0,1
75,1.6,5,1803,180,180,1,1
76,12.8,6,712,180,180,1,1
77,25.6,6,779,180,180,1,1
78,6.4,6,773,0,0,1,1
79,6.4,2,59,0,180,0,1
80,1.6,6,4671,180,180,1,1
81,3.2,6,1090,0,0,1,1
82,1.6,5,2551,180,180,1,1
83,1.6,6,1640,180,0,0,1
84,3.2,6,1631,180,180,1,1
85,1.6,6,2166,180,180,1,1
86,25.6,6,747,0,0,1,1
87,6.4,6,899,180,180,1,1
88,12.8,6,686,0,0,1,1
89,3.2,6,1068,180,180,1,1
90,1.6,4,2476,180,180,1,1
91,25.6,6,656,0,0,1,1
92,3.2,6,730,180,180,1,1
93,6.4,6,667,0,0,1,1
94,12.8,6,1140,0,0,1,1
95,12.8,6,1166,0,0,1,1
96,6.4,6,891,180,180,1,1
97,12.8,6,736,0,0,1,1
98,6.4,6,772,0,0,1,1
99,6.4,6,1067,0,0,1,1
100,1.6,6,3901,0,180,0,1
101,12.8,6,727,180,180,1,1
102,25.6,6,811,180,180,1,1
103,1.6,5,1781,180,0,0,1
104,25.6,6,746,180,180,1,1
105,1.6,5,3656,0,180,0,1
106,1.6,6,1055,0,0,1,1
107,3.2,6,1926,180,180,1,1
108,25.6,6,1024,180,180,1,1
